step, Ka, Kd, Ks, alpha, predict
2930,0.00929848,0.170122,0.530122,0.710122,12.9999
2940,0.0039208,0.169545,0.529545,0.709545,13.0005
2950,0.0218201,0.170401,0.530401,0.710402,12.9996
2960,0.0069431,0.170187,0.530187,0.710188,12.9999
2970,0.0038852,0.169787,0.529786,0.709787,13.0002
2980,0.00181737,0.17018,0.53018,0.71018,12.9998
2990,0.0189278,0.170225,0.530225,0.710226,12.9998
3000,0.00731215,0.17025,0.53025,0.710251,12.9998
3010,0.00515272,0.169754,0.529754,0.709755,13.0003
3020,0.00244697,0.170182,0.530182,0.710183,12.9998
3030,0.0180672,0.170202,0.530202,0.710203,12.9998
3040,0.00669398,0.170223,0.530223,0.710224,12.9998
3050,0.00458497,0.169761,0.529761,0.709761,13.0003
3060,0.00331458,0.170047,0.530047,0.710047,13
3070,0.0163026,0.170766,0.530766,0.710765,12.9992
3080,0.0224341,0.170447,0.530447,0.710449,12.9996
3090,0.00838955,0.170271,0.530272,0.710273,12.9998
3100,0.00305458,0.17019,0.53019,0.710191,12.9998
3110,0.0018525,0.169955,0.529955,0.709955,13
3120,0.00156752,0.170189,0.530189,0.710188,12.9998
3130,0.0151362,0.170428,0.530428,0.710428,12.9996
3140,0.00909147,0.169922,0.529922,0.709923,13.0001
3150,0.00435066,0.170006,0.530006,0.710007,13
3160,0.00625591,0.169645,0.529644,0.709645,13.0004
3170,0.00587608,0.170153,0.530153,0.710154,12.9999
3180,0.0167416,0.17025,0.53025,0.710251,12.9998
3190,0.00673187,0.170133,0.530133,0.710134,12.9999
3200,0.00417315,0.169839,0.529838,0.709839,13.0002
3210,0.00649778,0.16982,0.52982,0.70982,13.0002
3220,0.00155185,0.16985,0.52985,0.70985,13.0002
3230,0.0351912,0.170399,0.530399,0.7104,12.9997
3240,0.0205262,0.170389,0.530389,0.710392,12.9997
3250,0.00702125,0.169874,0.529874,0.709876,13.0002
3260,0.00280735,0.169829,0.529829,0.70983,13.0002
3270,0.0013241,0.169902,0.529902,0.709902,13.0001
3280,0.000753668,0.170087,0.530087,0.710087,12.9999
3290,0.000250007,0.16993,0.52993,0.70993,13.0001
3300,0.0280278,0.169265,0.529265,0.709265,13.0008
3310,0.0250199,0.170101,0.530101,0.710104,13
3320,0.00884914,0.170285,0.530286,0.710287,12.9998
3330,0.00381252,0.170005,0.530005,0.710005,13
3340,0.001444,0.169992,0.529992,0.709992,13
3350,0.000669995,0.170094,0.530095,0.710094,12.9999
3360,0.000435084,0.169898,0.529898,0.709898,13.0001
3370,0.0155085,0.169307,0.529307,0.709307,13.0007
3380,0.0185148,0.169652,0.529653,0.709655,13.0004
3390,0.00723295,0.16984,0.529841,0.709841,13.0002
3400,0.00353753,0.170119,0.530119,0.710119,12.9999
3410,0.00180559,0.169901,0.529901,0.709901,13.0001
3420,0.000346393,0.170118,0.530118,0.710118,12.9999
3430,0.0379021,0.169634,0.529634,0.709635,13.0004
3440,0.0236604,0.169687,0.529687,0.70969,13.0004
3450,0.00754084,0.17029,0.53029,0.710292,12.9998
3460,0.00387129,0.170023,0.530023,0.710024,13
3470,0.00122788,0.169955,0.529955,0.709955,13
3480,0.000671173,0.170047,0.530047,0.710047,12.9999
3490,0.000376272,0.169958,0.529957,0.709957,13
3500,4.51285e-05,0.169998,0.529998,0.709998,13
3510,0.000100192,0.16987,0.529869,0.70987,13.0001
3520,0.0945169,0.170022,0.530023,0.710025,13.0001
3530,0.0434749,0.170411,0.530412,0.710416,12.9998
3540,0.0156943,0.170316,0.530317,0.710321,12.9999
3550,0.00565476,0.170241,0.530242,0.710244,12.9998
3560,0.00244302,0.170069,0.530069,0.710069,12.9999
3570,0.000833291,0.169909,0.529909,0.709908,13.0001
3580,0.000339456,0.17005,0.53005,0.71005,12.9999
3590,0.000121635,0.169964,0.529964,0.709964,13
3600,5.96108e-05,0.169993,0.529993,0.709993,13
3610,2.14861e-05,0.169995,0.529995,0.709995,13
3620,8.36485e-06,0.16999,0.52999,0.70999,13
3630,1.1155e-05,0.169992,0.529992,0.709992,13
3640,0.000521357,0.169748,0.529748,0.709748,13.0003
3650,0.0706337,0.169955,0.529956,0.709957,13.0002
3660,0.0247368,0.170384,0.530386,0.710389,12.9998
3670,0.010226,0.169696,0.529697,0.709699,13.0004
3680,0.00386528,0.17015,0.53015,0.710151,12.9999
3690,0.00133802,0.169885,0.529885,0.709885,13.0001
3700,0.000589817,0.170039,0.530039,0.710038,12.9999
3710,0.000238978,0.170044,0.530044,0.710044,12.9999
3720,0.000130839,0.169998,0.529998,0.709998,13
3730,7.11815e-05,0.170012,0.530012,0.710012,13
3740,3.65518e-06,0.169991,0.529991,0.709991,13
3750,0.0084519,0.168888,0.528888,0.708888,13.0011
3760,0.0897157,0.170619,0.53062,0.710621,12.9996
3770,0.0271941,0.169883,0.529884,0.709888,13.0003
3780,0.00839825,0.169706,0.529706,0.709709,13.0004
3790,0.00371288,0.169976,0.529976,0.709977,13.0001
3800,0.00118179,0.170089,0.530089,0.710089,12.9999
3810,0.000528896,0.169951,0.529951,0.70995,13
3820,0.000224777,0.169981,0.529981,0.709981,13
3830,7.54992e-05,0.170009,0.530009,0.710009,13
3840,4.04907e-05,0.169989,0.529989,0.709989,13
3850,2.28818e-05,0.170009,0.530009,0.710009,13
3860,3.21646e-06,0.169987,0.529987,0.709987,13
3870,0.0114607,0.168828,0.528829,0.708829,13.0012
3880,0.077819,0.17054,0.530542,0.710542,12.9996
3890,0.0225738,0.169668,0.529669,0.709673,13.0005
3900,0.00756606,0.169836,0.529837,0.709839,13.0003
3910,0.00297862,0.170173,0.530172,0.710173,12.9999
3920,0.00121398,0.169892,0.529891,0.709891,13.0001
3930,0.000490027,0.17004,0.53004,0.710039,12.9999
3940,0.000195892,0.170045,0.530045,0.710045,13
3950,8.321e-05,0.170029,0.530029,0.710029,13
3960,5.44161e-05,0.169977,0.529977,0.709977,13
3970,2.03166e-05,0.169993,0.529993,0.709993,13
3980,0.0010466,0.169603,0.529603,0.709603,13.0004
3990,0.0744839,0.169156,0.529157,0.709159,13.001
4000,0.0311214,0.170212,0.530213,0.710217,13
4010,0.00918993,0.170278,0.530279,0.710281,12.9999
4020,0.00424318,0.169831,0.529831,0.709832,13.0002
4030,0.0014678,0.170087,0.530087,0.710087,12.9999
