step, loss, error
9020,0.0489349,0.0592176
9030,0.0587845,0.0589924
9040,0.0166339,0.0589218
9050,0.0997637,0.0586341
9060,0.0218837,0.0585245
9070,0.0158284,0.0584212
9080,0.0283768,0.057786
9090,0.0622161,0.0575343
9100,0.0384921,0.0568019
9110,0.0912652,0.0554155
9120,0.043011,0.0547612
9130,0.0959846,0.0549254
9140,0.035443,0.0555696
9150,0.00825498,0.0554691
9160,0.0334332,0.0546075
9170,0.104558,0.0540561
9180,0.0279584,0.0538478
9190,0.0247128,0.0537574
9200,0.0669543,0.0534364
9210,0.0494661,0.0534051
9220,0.113543,0.0537038
9230,0.01471,0.0539492
9240,0.0793033,0.0536416
9250,0.0475709,0.0530155
9260,0.0830754,0.0531855
9270,0.0655933,0.0526711
9280,0.0509992,0.051481
9290,0.0299378,0.0514106
9300,0.131047,0.0510727
9310,0.0692576,0.0502917
9320,0.0317262,0.0496432
9330,0.0278043,0.0496264
9340,0.0665572,0.0495887
9350,0.0489545,0.0491101
9360,0.0365412,0.04857
9370,0.0204383,0.0478292
9380,0.0502557,0.0470916
9390,0.0153348,0.0468939
9400,0.0626775,0.0476079
9410,0.0288413,0.0494975
9420,0.0933981,0.0506888
9430,0.0403036,0.0521733
9440,0.055304,0.0529113
9450,0.0324645,0.0538001
9460,0.00603067,0.0537584
9470,0.0382193,0.0533582
9480,0.0395611,0.0529108
9490,0.0374964,0.0522169
9500,0.0769277,0.0512273
9510,0.0647322,0.0506098
9520,0.0880837,0.0502263
9530,0.0176366,0.0502398
9540,0.0430932,0.0497736
9550,0.0287033,0.0488045
9560,0.0543283,0.0477329
9570,0.0738337,0.0475447
9580,0.12329,0.0477644
9590,0.0656843,0.0483368
9600,0.033526,0.049506
9610,0.0544901,0.0506234
9620,0.0450471,0.0512917
9630,0.0346362,0.0508674
9640,0.0419762,0.0504366
9650,0.0602547,0.0504165
9660,0.0275063,0.0522221
9670,0.0528526,0.0534199
9680,0.0353216,0.0532912
9690,0.0358141,0.0524239
9700,0.0701085,0.0522822
9710,0.0921543,0.0530295
9720,0.0572925,0.0530459
9730,0.0365389,0.0528941
9740,0.0593878,0.0522138
9750,0.0529609,0.0516863
9760,0.0313708,0.0510074
9770,0.0634673,0.0501319
9780,0.0421552,0.0493082
9790,0.0410894,0.0481253
9800,0.032191,0.0467807
9810,0.0414024,0.0457783
9820,0.0274327,0.0448606
9830,0.0656357,0.0440426
9840,0.066182,0.0436736
9850,0.0381331,0.0437667
9860,0.0379337,0.0423211
9870,0.0766037,0.0412539
9880,0.0418028,0.0415694
9890,0.0435785,0.0421472
9900,0.027494,0.0414369
9910,0.0395472,0.0406143
9920,0.0480204,0.0400589
9930,0.0792766,0.0400735
9940,0.0329254,0.0404632
9950,0.0702715,0.0405622
9960,0.0296361,0.0411849
9970,0.043885,0.0415605
9980,0.0450605,0.0415966
9990,0.0297497,0.0410617
10000,0.0741147,0.0407334
10010,0.0756468,0.0408806
10020,0.0153365,0.0404842
10030,0.0323044,0.0396239
10040,0.0286296,0.0395381
10050,0.0219124,0.0391603
10060,0.0254557,0.0384676
10070,0.0188661,0.0380562
10080,0.0525563,0.0382054
10090,0.0904834,0.0379508
10100,0.0110771,0.0377243
10110,0.0505859,0.0371793
10120,0.018856,0.03631
10130,0.0638824,0.0368717
10140,0.0192254,0.0375279
10150,0.0457398,0.036927
10160,0.0269433,0.0357425
10170,0.0956546,0.0347698
10180,0.0523644,0.0363378
10190,0.0226223,0.0377765
10200,0.0710769,0.0380104
10210,0.0462127,0.0384997
10220,0.033654,0.0386697
10230,0.0258097,0.0381018
10240,0.0795306,0.0376526
10250,0.0184492,0.0377654
10260,0.0824581,0.0380492
10270,0.0239887,0.0383715
10280,0.0317731,0.0382981
10290,0.0163857,0.0377568
10300,0.0453924,0.0365832
10310,0.0526679,0.0359528
10320,0.0318163,0.0360479
